Task Name,Completed By,Day,Completed,Time,VIP Acct#,Account,Address,City,ST,Zip,Distance,Premise,COT,Chain,On/Off Premise:,Did you speak to the buyer:,Who did you speak with:,CMC Notes:,Buyer Committed (New POD):,Instigated Re-Buy:,SKU #1:,Draft or PKG SKU #1:,QTY of SKU #1:,SKU #2:,Draft or PKG SKU #2:,QTY of SKU #2:,SKU #3:,Draft or PKG SKU #3:,QTY of SKU #3:,SKU #4:,Draft or PKG SKU #4:,QTY of SKU #4:,SKU #5:,Draft or PKG SKU #5:,QTY of SKU #5:,SKU #6:,Draft or PKG SKU #6:,QTY of SKU #6:,Buyer Objection:,Sampled Product:,Staff Education:,Built Display:,Confirmed Display:,Where is the Display:,How Many Cases:,Added POS:,Scheduled a 3rd Party Tasting:,Date of Event/Tasting:,Shelf Optimization:,Cold Space Placement:,Pricing Survey:,Supplier Price:,Competitor #1 Name:,Competitor #1 Price:,Competitor #2 Name:,Competitor #2 Price:,Mispriced Item Correction:,Price Feature Added:,Cold Shelf Photo #1:,Cold Shelf Photo #2:,Competitor Photo #1:,Competitor Photo #2:,Display Photo #1:,Display Photo #2:,Display Photo #3:,Menu Feature Photo #1:,POS Photo #1:,POS Photo #2:,POS Photo #3:,Warm Shelf Photo #1:,Warm Shelf Photo #2:,Other Photo #1:,Other Photo #2:,Other Photo #3:,Removed Damaged/OOC Product:,Executed Event:,Follow up:,Distributor Name:
CANN,"Seth Hahn",Fri,20241206,"06:40 PM",4602060,"PRESSURE SMOKE DAB BAR HEMP","2190 NOLENSVILLE PIKE STE B",NASHVILLE,TN,37211,2.0,OFF,"SPECIALTY RETAIL",INDEPENDENTS,Off,NO,"Jordan- sales associate","Presented my brands again to the clerk talked about pricing and placement. Said he will pass along the info again for him and will get back with me for a date to sample and talk placement.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Celestial Mead","Nora Grusk",Fri,20241206,"06:32 PM",4713229,"OHSO & LITTLE OS","8525 N CENTRAL AVE",PHOENIX,AZ,85020,0.5,ON,"TASTING ROOM",INDEPENDENTS,On,NO,Kagen,"Stopped here end of day, just to support the account and see how business was going. Talked with Kagen who does retail management. Shes familiar with the brand, left some sales sheets for Larsen  when he gets on Monday",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,YES,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Phusion Projects - Mamitas","Nora Grusk",Fri,20241206,"06:31 PM",4713229,"OHSO & LITTLE OS","8525 N CENTRAL AVE",PHOENIX,AZ,85020,0.5,ON,"TASTING ROOM",INDEPENDENTS,On,NO,Kagen,"Stopped here end of day, just to support the account and see how the grab and go cooler was going as well as guest taps for draft. Talked with Kagen who does retail management. Shes familiar with the brand, left some samples for Larsen to re visit when he gets on Monday. Left availability and pricing in the meantime",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",YES,YES,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Wild Tonic","Nora Grusk",Fri,20241206,"06:30 PM",4713229,"OHSO & LITTLE OS","8525 N CENTRAL AVE",PHOENIX,AZ,85020,0.5,ON,"TASTING ROOM",INDEPENDENTS,On,NO,Kagen,"Stopped here end of day, just to support the account and see how the grab and go cooler was going as well as guest taps for draft. Talked with Kagen who does retail management. Shes familiar with the brand, left some samples for Larsen to re visit when he gets on Monday. Left availability and pricing as well for him",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",YES,YES,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"The Bruery","Nora Grusk",Fri,20241206,"06:30 PM",4713229,"OHSO & LITTLE OS","8525 N CENTRAL AVE",PHOENIX,AZ,85020,0.5,ON,"TASTING ROOM",INDEPENDENTS,On,NO,Kagen,"Stopped here end of day, just to support the account and see how the grab and go cooler was going as well as guest taps for draft. Talked with Kagen who does retail management. Shes familiar with the brand, left some samples for Larsen to re visit when he gets on Monday. Left availability and pricing",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",YES,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Wild Tonic","Nora Grusk",Fri,20241206,"06:28 PM",4182789,"LITTLE MISS BBQ","8901 N 7TH ST",PHOENIX,AZ,85020,0.4,ON,RESTAURANT,INDEPENDENTS,On,NO,Andrew,"Was in the area, wanted to try and speak to the new buyer. They mostly do local here, and they have a cooler for canned drinks. He was not in, but I left sales sheet and some samples with Andrew who was managing tonight",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",YES,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Jeng,"Matt Koch",Fri,20241206,"06:27 PM",159263,"MEAN EYED CAT BAR","1621 W 5TH ST",AUSTIN,TX,78703,0.1,ON,BAR,INDEPENDENTS,On,YES,Paul,"Revisited with Paul to discuss Jeng and go over the sell sheet. At this time, MEK wants new THC infused beverages on the menu, but is still in the reviewing stages for brands they dont already carry.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,YES,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"High Rise","Matt Koch",Fri,20241206,"06:25 PM",159263,"MEAN EYED CAT BAR","1621 W 5TH ST",AUSTIN,TX,78703,0.1,ON,BAR,INDEPENDENTS,On,YES,Paul,"Revisited with Paul to discuss High Rise and see if MEK was able to discuss High Rise. At this time, MEK wants new THC infused beverages on the menu, but is still in the reviewing stages for brands they dont already carry.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",YES,YES,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Cantrip,"Matt Koch",Fri,20241206,"06:24 PM",159263,"MEAN EYED CAT BAR","1621 W 5TH ST",AUSTIN,TX,78703,0.1,ON,BAR,INDEPENDENTS,On,YES,Paul,"Revisited with Paul to discuss Cantrip and see if MEK was able to discuss Cantrip. At this time, MEK wants new THC infused beverages on the menu, but is still in the reviewing stages for brands they dont already carry.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,YES,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Wild Tonic","Nora Grusk",Fri,20241206,"06:23 PM",4377859,"RIFT BEER AND WINE","431 N SCOTTSDALE RD",SCOTTSDALE,AZ,85257,10.9,ON,BAR,INDEPENDENTS,On,YES,Damien,"**remote entry **Damien ordered a mango ginger keg to go on draft next. Placing the order with CCD rep next week",YES,NO,"WT - MANGO GINGER HARD JUN KOMBUCHA 5.16 GAL",Draft,1,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
